,meter_reading,hour,minute,day,month,year
491,988486.0,3,0,6,8,2023
492,988492.0,3,15,6,8,2023
493,988498.0,3,30,6,8,2023
494,988503.0,3,45,6,8,2023
495,988507.0,4,0,6,8,2023
496,988512.0,4,15,6,8,2023
497,988516.0,4,30,6,8,2023
498,988520.0,4,45,6,8,2023
499,988524.0,5,0,6,8,2023
500,988528.0,5,15,6,8,2023
501,988534.0,5,30,6,8,2023
502,988539.0,5,45,6,8,2023
503,988545.0,6,0,6,8,2023
504,988551.0,6,15,6,8,2023
505,988555.0,6,30,6,8,2023
506,988560.0,6,45,6,8,2023
507,988564.0,7,0,6,8,2023
508,988568.0,7,15,6,8,2023
509,988573.0,7,30,6,8,2023
510,988576.0,7,45,6,8,2023
511,988580.0,8,0,6,8,2023
512,988585.0,8,15,6,8,2023
513,988591.0,8,30,6,8,2023
514,988598.0,8,45,6,8,2023
515,988603.0,9,0,6,8,2023
516,988607.0,9,15,6,8,2023
517,988612.0,9,30,6,8,2023
518,988616.0,9,45,6,8,2023
519,988621.0,10,0,6,8,2023
520,988626.0,10,15,6,8,2023
521,988633.0,10,30,6,8,2023
522,988639.0,10,45,6,8,2023
523,988645.0,11,0,6,8,2023
524,988649.0,11,15,6,8,2023
525,988651.0,11,30,6,8,2023
526,988655.0,11,45,6,8,2023
527,988660.0,12,0,6,8,2023
528,988665.0,12,15,6,8,2023
529,988671.0,12,30,6,8,2023
530,988676.0,12,45,6,8,2023
531,988682.0,13,0,6,8,2023
532,988688.0,13,15,6,8,2023
533,988692.0,13,30,6,8,2023
534,988699.0,13,45,6,8,2023
535,988704.0,14,0,6,8,2023
536,988709.0,14,15,6,8,2023
537,988716.0,14,30,6,8,2023
538,988721.0,14,45,6,8,2023
539,988727.0,15,0,6,8,2023
540,988734.0,15,15,6,8,2023
541,988739.0,15,30,6,8,2023
542,988745.0,15,45,6,8,2023
543,988751.0,16,0,6,8,2023
544,988757.0,16,15,6,8,2023
545,988763.0,16,30,6,8,2023
546,988769.0,16,45,6,8,2023
547,988775.0,17,0,6,8,2023
548,988781.0,17,15,6,8,2023
549,988787.0,17,30,6,8,2023
550,988793.0,17,45,6,8,2023
551,988800.0,18,0,6,8,2023
552,988805.0,18,15,6,8,2023
553,988813.0,18,30,6,8,2023
554,988819.0,18,45,6,8,2023
555,988826.0,19,0,6,8,2023
556,988832.0,19,15,6,8,2023
557,988839.0,19,30,6,8,2023
558,988846.0,19,45,6,8,2023
559,988852.0,20,0,6,8,2023
560,988857.0,20,15,6,8,2023
561,988862.0,20,30,6,8,2023
562,988867.0,20,45,6,8,2023
563,988875.0,21,0,6,8,2023
564,988881.0,21,15,6,8,2023
565,988887.0,21,30,6,8,2023
566,988893.0,21,45,6,8,2023
567,988897.0,22,0,6,8,2023
568,988902.0,22,15,6,8,2023
569,988907.0,22,30,6,8,2023
570,988914.0,22,45,6,8,2023
571,988920.0,23,0,6,8,2023
572,988926.0,23,15,6,8,2023
573,988931.0,23,30,6,8,2023
574,988935.0,23,45,6,8,2023
575,988940.0,0,0,7,8,2023
576,988945.0,0,15,7,8,2023
577,988951.0,0,30,7,8,2023
578,988957.0,0,45,7,8,2023
579,988963.0,1,0,7,8,2023
580,988968.0,1,15,7,8,2023
581,988972.0,1,30,7,8,2023
582,988977.0,1,45,7,8,2023
583,988981.0,2,0,7,8,2023
584,988987.0,2,15,7,8,2023
585,988992.0,2,30,7,8,2023
586,988999.0,2,45,7,8,2023
587,989005.0,3,0,7,8,2023
588,989009.0,3,15,7,8,2023
589,989014.0,3,30,7,8,2023
590,989019.0,3,45,7,8,2023
591,989023.0,4,0,7,8,2023
592,989028.0,4,15,7,8,2023
593,989033.0,4,30,7,8,2023
594,989040.0,4,45,7,8,2023
595,989046.0,5,0,7,8,2023
596,989051.0,5,15,7,8,2023
597,989055.0,5,30,7,8,2023
598,989060.0,5,45,7,8,2023
599,989064.0,6,0,7,8,2023
600,989070.0,6,15,7,8,2023
601,989075.0,6,30,7,8,2023
602,989082.0,6,45,7,8,2023
603,989090.0,7,0,7,8,2023
604,989098.0,7,15,7,8,2023
605,989104.0,7,30,7,8,2023
606,989111.0,7,45,7,8,2023
607,989118.0,8,0,7,8,2023
608,989128.0,8,15,7,8,2023
609,989137.0,8,30,7,8,2023
610,989148.0,8,45,7,8,2023
611,989159.0,9,0,7,8,2023
612,989170.0,9,15,7,8,2023
613,989179.0,9,30,7,8,2023
614,989188.0,9,45,7,8,2023
615,989197.0,10,0,7,8,2023
616,989208.0,10,15,7,8,2023
617,989220.0,10,30,7,8,2023
618,989231.0,10,45,7,8,2023
619,989240.0,11,0,7,8,2023
620,989251.0,11,15,7,8,2023
621,989262.0,11,30,7,8,2023
622,989272.0,11,45,7,8,2023
623,989280.0,12,0,7,8,2023
624,989288.0,12,15,7,8,2023
625,989298.0,12,30,7,8,2023
626,989312.0,12,45,7,8,2023
627,989322.0,13,0,7,8,2023
628,989332.0,13,15,7,8,2023
629,989341.0,13,30,7,8,2023
630,989352.0,13,45,7,8,2023
631,989362.0,14,0,7,8,2023
632,989373.0,14,15,7,8,2023
633,989386.0,14,30,7,8,2023
634,989396.0,14,45,7,8,2023
635,989406.0,15,0,7,8,2023
636,989416.0,15,15,7,8,2023
637,989430.0,15,30,7,8,2023
638,989440.0,15,45,7,8,2023
639,989451.0,16,0,7,8,2023
640,989460.0,16,15,7,8,2023
641,989469.0,16,30,7,8,2023
642,989477.0,16,45,7,8,2023
643,989483.0,17,0,7,8,2023
644,989491.0,17,15,7,8,2023
645,989499.0,17,30,7,8,2023
646,989505.0,17,45,7,8,2023
647,989513.0,18,0,7,8,2023
648,989520.0,18,15,7,8,2023
649,989527.0,18,30,7,8,2023
650,989534.0,18,45,7,8,2023
651,989540.0,19,0,7,8,2023
652,989548.0,19,15,7,8,2023
653,989555.0,19,30,7,8,2023
654,989562.0,19,45,7,8,2023
655,989567.0,20,0,7,8,2023
656,989572.0,20,15,7,8,2023
657,989578.0,20,30,7,8,2023
658,989585.0,20,45,7,8,2023
659,989592.0,21,0,7,8,2023
660,989599.0,21,15,7,8,2023
661,989604.0,21,30,7,8,2023
662,989609.0,21,45,7,8,2023
663,989614.0,22,0,7,8,2023
